order_id,product_id,region,quantity,price,order_date,customer_id
1001,P101,North America,2,29.99,2024-01-15,C501
1002,P205,Europe,1,149.99,2024-01-15,C502
1003,P101,North America,5,29.99,2024-01-16,C503
1004,,Asia Pacific,3,79.99,2024-01-16,C504
1005,P340,Europe,1,199.99,2024-01-17,C505
1006,P450,North America,2,49.99,2024-01-17,C506
1007,P205,Europe,3,149.99,2024-01-18,C507
1008,P101,Asia Pacific,1,29.99,2024-01-18,C508
1009,P555,North America,1,89.99,2024-01-19,C509
1010,P340,Europe,2,199.99,2024-01-19,C510
1011,P450,North America,4,49.99,2024-01-20,C511
1012,P101,Asia Pacific,2,29.99,2024-01-20,C512
1013,P205,North America,1,149.99,2024-01-21,C513
1014,,Europe,1,79.99,2024-01-21,C514
1015,P340,North America,1,199.99,2024-01-22,C515
1016,P101,Europe,3,29.99,2024-01-22,C516
1017,P450,Asia Pacific,2,49.99,2024-01-23,C517
1018,P205,North America,2,149.99,2024-01-23,C518
1019,P555,Europe,1,89.99,2024-01-24,C519
1020,P340,Asia Pacific,1,199.99,2024-01-24,C520
1021,P101,North America,6,29.99,2024-01-25,C521
1022,P205,Europe,1,149.99,2024-01-25,C522
1023,,North America,2,49.99,2024-01-26,C523
1024,P450,Asia Pacific,3,49.99,2024-01-26,C524
1025,P340,North America,1,199.99,2024-01-27,C525
1026,P101,Europe,4,29.99,2024-01-27,C526
1027,P205,Asia Pacific,1,149.99,2024-01-28,C527
1028,P555,North America,2,89.99,2024-01-28,C528
1029,P450,Europe,2,49.99,2024-01-29,C529
1030,P340,North America,1,199.99,2024-01-29,C530
