order_id,order_date,product_name,category,quantity,unit_price,region,customer_id
2001,2024-04-02,Laptop Pro 15,Electronics,3,1299.99,Asia,C2001
2002,2024-04-05,Office Chair Deluxe,Furniture,6,349.99,North America,C2002
2003,2024-04-08,Wireless Mouse,Electronics,12,29.99,Europe,C2003
2004,2024-04-10,Standing Desk,Furniture,2,599.99,Asia,C2004
2005,2024-04-12,USB-C Hub,Electronics,18,49.99,North America,C2005
2006,2024-04-15,Monitor 27",Electronics,5,449.99,Europe,C2006
2007,2024-04-18,Desk Lamp LED,Furniture,10,79.99,Asia,C2007
2008,2024-04-20,Keyboard Mechanical,Electronics,7,159.99,North America,C2008
2009,2024-04-22,Ergonomic Chair,Furniture,3,899.99,Europe,C2009
2010,2024-04-25,Webcam HD,Electronics,14,89.99,Asia,C2010
2011,2024-04-28,Laptop Bag,Accessories,22,59.99,North America,C2011
2012,2024-05-01,Phone Stand,Accessories,28,19.99,Europe,C2012
2013,2024-05-03,Tablet Pro,Electronics,4,899.99,Asia,C2013
2014,2024-05-05,Filing Cabinet,Furniture,5,299.99,North America,C2014
2015,2024-05-08,Headphones Wireless,Electronics,9,199.99,Europe,C2015
2016,2024-05-10,Desk Organizer,Accessories,32,24.99,Asia,C2016
2017,2024-05-12,Printer Laser,Electronics,3,449.99,North America,C2017
2018,2024-05-15,Bookshelf,Furniture,4,199.99,Europe,C2018
2019,2024-05-18,Cable Management,Accessories,45,14.99,Asia,C2019
2020,2024-05-20,Monitor Arm,Furniture,6,149.99,North America,C2020
2021,2024-05-22,Laptop Stand,Accessories,18,39.99,Europe,C2021
2022,2024-05-25,Power Strip,Electronics,11,34.99,Asia,C2022
2023,2024-05-28,Conference Phone,Electronics,2,599.99,North America,C2023
2024,2024-05-30,Whiteboard,Furniture,3,179.99,Europe,C2024
2025,2024-06-02,Mouse Pad,Accessories,55,9.99,Asia,C2025
2026,2024-06-05,External SSD 1TB,Electronics,7,149.99,North America,C2026
2027,2024-06-08,Office Table,Furniture,5,499.99,Europe,C2027
2028,2024-06-10,Pen Holder,Accessories,38,7.99,Asia,C2028
2029,2024-06-12,Docking Station,Electronics,4,249.99,North America,C2029
2030,2024-06-15,Task Chair,Furniture,8,399.99,Europe,C2030
2031,2024-06-18,Screen Protector,Accessories,48,12.99,Asia,C2031
2032,2024-06-20,Router WiFi 6,Electronics,5,179.99,North America,C2032
2033,2024-06-22,Storage Cabinet,Furniture,3,349.99,Europe,C2033
2034,2024-06-25,USB Flash Drive,Electronics,22,19.99,Asia,C2034
2035,2024-06-28,Desk Mat,Accessories,20,29.99,North America,C2035
2036,2024-06-30,Smartwatch,Electronics,6,299.99,Europe,C2036
